ano,sexo,grupo_idade,populacao
2017,Total,60 anos ou mais,30161000
2017,Total,60 a 64 anos,9516000
2017,Total,65 anos ou mais,20645000
2017,Homens,Total,99682000
2017,Homens,0 a 4 anos,6755000
2017,Homens,5 a 13 anos,13117000
2017,Homens,5 a 9 anos,7024000
2017,Homens,10 a 13 anos,6093000
2017,Homens,14 a 17 anos,6708000
2017,Homens,14 a 15 anos,3271000
2017,Homens,16 a 17 anos,3437000
2017,Homens,18 a 19 anos,3545000
2017,Homens,20 a 24 anos,8165000
2017,Homens,25 a 29 anos,7491000
2017,Homens,30 a 39 anos,15752000
2017,Homens,40 a 49 anos,13413000
2017,Homens,50 a 59 anos,11458000
2017,Homens,60 anos ou mais,13278000
2017,Homens,60 a 64 anos,4369000
2017,Homens,65 anos ou mais,8909000
2017,Mulheres,Total,106491000
2017,Mulheres,0 a 4 anos,6325000
2017,Mulheres,5 a 13 anos,12500000
2017,Mulheres,5 a 9 anos,6673000
2017,Mulheres,10 a 13 anos,5827000
2017,Mulheres,14 a 17 anos,6536000
2017,Mulheres,14 a 15 anos,3134000
2017,Mulheres,16 a 17 anos,3402000
2017,Mulheres,18 a 19 anos,3331000
2017,Mulheres,20 a 24 anos,8059000
2017,Mulheres,25 a 29 anos,7871000
2017,Mulheres,30 a 39 anos,16940000
2017,Mulheres,40 a 49 anos,14944000
2017,Mulheres,50 a 59 anos,13103000
2017,Mulheres,60 anos ou mais,16883000
2017,Mulheres,60 a 64 anos,5147000
2017,Mulheres,65 anos ou mais,11736000
2018,Total,Total,207853000
2018,Total,0 a 4 anos,13124000
2018,Total,5 a 13 anos,25478000
2018,Total,5 a 9 anos,13645000
2018,Total,10 a 13 anos,11832000
2018,Total,14 a 17 anos,12795000
2018,Total,14 a 15 anos,6227000
2018,Total,16 a 17 anos,6568000
2018,Total,18 a 19 anos,6738000
2018,Total,20 a 24 anos,16048000
2018,Total,25 a 29 anos,15006000
2018,Total,30 a 39 anos,32978000
2018,Total,40 a 49 anos,28706000
2018,Total,50 a 59 anos,NA
2018,Total,60 anos ou mais,31981000
2018,Total,60 a 64 anos,10109000
2018,Total,65 anos ou mais,21872000
2018,Homens,Total,100333000
2018,Homens,0 a 4 anos,6667000
2018,Homens,5 a 13 anos,12940000
2018,Homens,5 a 9 anos,6934000
2018,Homens,10 a 13 anos,6006000
2018,Homens,14 a 17 anos,6601000
2018,Homens,14 a 15 anos,3244000
2018,Homens,16 a 17 anos,3357000
2018,Homens,18 a 19 anos,3470000
2018,Homens,20 a 24 anos,8137000
2018,Homens,25 a 29 anos,7303000
2018,Homens,30 a 39 anos,15884000
2018,Homens,40 a 49 anos,13601000
2018,Homens,50 a 59 anos,11561000
2018,Homens,60 anos ou mais,14170000
2018,Homens,60 a 64 anos,4636000
2018,Homens,65 anos ou mais,9534000
2018,Mulheres,Total,107521000
2018,Mulheres,0 a 4 anos,6457000
2018,Mulheres,5 a 13 anos,12538000
2018,Mulheres,5 a 9 anos,6712000
2018,Mulheres,10 a 13 anos,5826000
2018,Mulheres,14 a 17 anos,6195000
2018,Mulheres,14 a 15 anos,2984000
2018,Mulheres,16 a 17 anos,3211000
2018,Mulheres,18 a 19 anos,3268000
2018,Mulheres,20 a 24 anos,7912000
2018,Mulheres,25 a 29 anos,7703000
2018,Mulheres,30 a 39 anos,17093000
2018,Mulheres,40 a 49 anos,15105000
2018,Mulheres,50 a 59 anos,13439000
2018,Mulheres,60 anos ou mais,17811000
2018,Mulheres,60 a 64 anos,5473000
2018,Mulheres,65 anos ou mais,12338000
2019,Total,Total,209496000
2019,Total,0 a 4 anos,13072000
2019,Total,5 a 13 anos,25337000
2019,Total,5 a 9 anos,13785000
2019,Total,10 a 13 anos,11552000
2019,Total,14 a 17 anos,12383000
2019,Total,14 a 15 anos,6221000
2019,Total,16 a 17 anos,6161000
2019,Total,18 a 19 anos,6611000
2019,Total,20 a 24 anos,15943000
2019,Total,25 a 29 anos,15304000
2019,Total,30 a 39 anos,33071000
2019,Total,40 a 49 anos,28914000
2019,Total,50 a 59 anos,26003000
2019,Total,60 anos ou mais,32860000
2019,Total,60 a 64 anos,10294000
2019,Total,65 anos ou mais,22566000
2019,Homens,Total,101074000
2019,Homens,0 a 4 anos,6726000
2019,Homens,5 a 13 anos,12937000
2019,Homens,5 a 9 anos,6979000
2019,Homens,10 a 13 anos,5958000
2019,Homens,14 a 17 anos,6305000
2019,Homens,14 a 15 anos,3189000
2019,Homens,16 a 17 anos,3116000
2019,Homens,18 a 19 anos,3367000
2019,Homens,20 a 24 anos,7993000
2019,Homens,25 a 29 anos,7413000
2019,Homens,30 a 39 anos,15939000
2019,Homens,40 a 49 anos,13738000
2019,Homens,50 a 59 anos,12201000
2019,Homens,60 anos ou mais,14456000
2019,Homens,60 a 64 anos,4714000
2019,Homens,65 anos ou mais,9742000
2019,Mulheres,Total,108423000
2019,Mulheres,0 a 4 anos,6346000
2019,Mulheres,5 a 13 anos,12400000
2019,Mulheres,5 a 9 anos,6806000
2019,Mulheres,10 a 13 anos,5594000
2019,Mulheres,14 a 17 anos,6078000
2019,Mulheres,14 a 15 anos,3032000
2019,Mulheres,16 a 17 anos,3046000
2019,Mulheres,18 a 19 anos,3244000
2019,Mulheres,20 a 24 anos,7950000
2019,Mulheres,25 a 29 anos,7891000
2019,Mulheres,30 a 39 anos,17132000
2019,Mulheres,40 a 49 anos,15176000
2019,Mulheres,50 a 59 anos,13802000
2019,Mulheres,60 anos ou mais,18404000
2019,Mulheres,60 a 64 anos,5580000
2019,Mulheres,65 anos ou mais,12824000
